file_name,sinhala_transcript,sinhala_transcript_with_code_switch
Download (1).wav,මේක දන්නැතුව ලංකාවේ වන්ප්ලස් ඩිවයිස් එකක් ගන්නවා නම් ඔයා ලොකු වැරැද්දක් කරනවා. බිකෝස් ලංකාවේ ඕතරයිස්ඩ් වන්ප්ලස් ඩිස්ට්‍රිබියුටර් බ්‍රවුන්ස්. ඔයා වන්ප්ලස් ඩිවයිස් එකක් ගන්න,මේක දන්නැතුව ලංකාවේ OnePlus device එකක් ගන්නවා නම් ඔයා ලොකු වැරැද්දක් කරනවා. Because ලංකාවේ authorized OnePlus distributor Browns. ඔයා OnePlus device එකක් ගන්න
Download (2).wav,ස්යක් ගන්න කලින් මෙන්න මේ දේවල් ගැන දැනගන්න ඕනේ. පලවෙනි එක. එයාලා එක්ස්ක්ලූසිව්ලි ඔෆර් කරන්නේ වන්ප්ලස් ග්ලෝබල් වේරියන්ට් එක විතරයි නැතුව එක එක රටවල් වලින් රැන්ඩම් ඉම්පෝර්ට් කර,ස්යක් ගන්න කලින් මෙන්න මේ දේවල් ගැන දැනගන්න ඕනේ. පලවෙනි එක. එයාලා exclusively offer කරන්නේ OnePlus global variant එක විතරයි නැතුව එක එක රටවල් වලින් random import කර
Download (3).wav,ඉම්පෝර්ට් කරපු ඒවා නෙවෙයි. ඒ වගේම මේවා ඔක්කොම ෆුල් මැනිෆැක්චර් වොරන්ටි එක්ක එන ටීආර්සීඑස්එල් ඇපෲව්ඩ් ඩිවයිසස්. දෙවෙනි එක ඔයා බ්‍රවුන්ස් එකෙන් ගන්න වන්ප්ලස්,import කරපු ඒවා නෙවෙයි. ඒ වගේම මේවා ඔක්කොම full manufacture warranty එක්ක එන TRCSL approved devices. දෙවෙනි එක ඔයා Browns එකෙන් ගන්න OnePlus
Download (4).wav,වන්ප්ලස් ඩිවයිසස් ඔක්කොමට 2 ඉයර්ස් මැනිෆැක්චර් වොරන්ටි එකක් හම්බෙනවා හැබැයි කූල්ම පාර්ට් එක ග්‍රීන් ලයින් ඉෂූස් වලට ලයිෆ්ටයිම් ස්ක්‍රීන් වොරන්ටි එකක්,OnePlus devices ඔක්කොමට 2 years manufacture warranty එකක් හම්බෙනවා හැබැයි coolම part එක green line issues වලට lifetime screen warranty එකක්
Download (5).wav,රන්ටි එකක් හම්බෙනවා. යෙස් ලයිෆ්ටයිම් වොරන්ටි. සෝ මින් පස්සේ බ්‍රවුන්ස් වලින් ගන්න වන්ප්ලස් ඩිවයිසස් වලට ග්‍රීන් ලයින් ඉෂු එකක් ආවොත් එහෙම බ්‍රවුන්ස්ලම ඒක ගැන බලාගන්නවා.,"රන්ටි එකක් හම්බෙනවා. Yes, lifetime warranty. So මින් පස්සේ Browns වලින් ගන්න OnePlus devices වලට green line issue එකක් ආවොත් එහෙම Brownsලම ඒක ගැන බලාගන්නවා."
Download (6).wav,"තුන්වෙනි එක. දැන් ඔයාලට වන්ප්ලස් නෝඩ් සීඊ 5, නෝඩ් 5 ඒ වගේම පවර්ෆුල් වන්ප්ලස් 13ආර් එක බ්‍රවුන්ස් ඩීල්ස් නැත්තං ලංකාව පුරාම තියෙන","තුන්වෙනි එක. දැන් ඔයාලට OnePlus Nord CE5, Nord 5 ඒ වගේම powerful OnePlus 13R එක Browns Deals නැත්තං ලංකාව පුරාම තියෙන"
Download (7).wav,ව පුරා තියෙන බ්‍රවුන්ස් ඕතරයිස්ඩ් රිටේලර්ස්ලගෙන් මිලදී ගන්න පුළුවන්. මේ ස්නැප්ඩ්‍රැගන් 8ජෙන් 3 එක්ක එන වන්ප්ලස් 13ආර් එක බීස්ට් එකක් ගේමිං ඇන්ඩ් මල්ටි,ව පුරා තියෙන Browns authorized retailersලගෙන් මිලදී ගන්න පුළුවන්. මේ Snapdragon 8 Gen 3 එක්ක එන OnePlus 13R එක beast එකක් gaming and multi
Download (8).wav,"මල්ටිටාස්ක් වලදී. හැබැයි පොඩ්ඩක් ඉන්න. තාම ඉවර නෑ. වන්ප්ලස් 15, වන්ප්ලස් 15ආර්, වන්ප්ලස් පෑඩ්, ඒ වගේම ස්මාර්ට්වොචස් ඇන්ඩ් ඇක්සසරිස්","multitask වලදී. හැබැයි පොඩ්ඩක් ඉන්න. තාම ඉවර නෑ. OnePlus 15, OnePlus 15R, OnePlus Pad, ඒ වගේම smartwatches and accessories"
Download (9).wav,"රීස්, බ්‍රවුන්ස් හරහා ලංකාවට ඔෆීෂියලි ලෝන්ච් වෙන්නයි යන්නේ. සෝ ලංකාවේ ජෙනුයින් වොරන්ටි එක්ක හොඳ ආෆ්ටර් සේල්ස් සර්විස් එක්ක වන්ප්ලස් ඩිවයිස් එකක් ගන්න ඕනෙ නම් බ්‍රවුන්ස්","ries, Browns හරහා ලංකාවට officially launch වෙන්නයි යන්නේ. So ලංකාවේ genuine warranty එක්ක හොඳ after sales service එක්ක OnePlus device එකක් ගන්න ඕනෙ නම් Browns"
Download (10).wav,බ්‍රවුන්ස් තමා දැන් එකම තැන. ඔයාලගේ සෙට් එකේ ඉන්න වන්ප්ලස් ෆෑන් බෝයිව මෙන්න මේ වීඩියෝ එකේ ටැග් කරන්න ඒ වගේම වන්ප්ලස් 15 එකේ ෆුල් රිවීව් එකක් ඕනෙනම් ඒකත් පල්ලෙහා කමෙන්ට් කරන්න.,Browns තමා දැන් එකම තැන. ඔයාලගේ set එකේ ඉන්න OnePlus fan boyව මෙන්න මේ video එකේ tag කරන්න ඒ වගේම OnePlus 15 එකේ full review එකක් ඕනෙනම් ඒකත් පල්ලෙහා comment කරන්න.
Download (11).wav,පීස්,Peace
Download (12).wav,"ඔයා ලංකාවේ අයිෆෝන් එකක් ගන්න ඉන්නවනම් ඔයා මෙන්න මේක දැනගන්න ඕනේ. ලංකාවේ හැමෝගෙම ආසාවක් තමා අයිෆෝන් එකක් ගන්න එක. බ්‍රෑන්ඩ් නිව් අයිෆෝන්ස් ගණන් වැඩියි, ඒ නිසා ගොඩක් කට්ටිය හොයන්නේ යූස්ඩ් අයිෆෝන්ස්. ඒකේ","ඔයා ලංකාවේ iPhone එකක් ගන්න ඉන්නවනම් ඔයා මෙන්න මේක දැනගන්න ඕනේ. ලංකාවේ හැමෝගෙම ආසාවක් තමා iPhone එකක් ගන්න එක. brand new iPhones ගණන් වැඩියි, ඒ නිසා ගොඩක් කට්ටිය හොයන්නේ used iPhones. ඒකේ"
Download (13).wav,"ඒකේ කිසි ප්‍රශ්නයක් නෑ, මගෙත් පලවෙනි අයිෆෝන් එක යූස්ඩ් අයිෆෝන් එකක්. හැබැයි යූස්ඩ් අයිෆෝන් එකක් ගන්නකොට හරියට බලන්න ඕනේ, එහෙම නැත්නම් ඔයාට අයිෆෝන්ම එපා වෙලා යනවා. පලවෙනි දේ තමා වොරන්ටි.","ඒකේ කිසි ප්‍රශ්නයක් නෑ, මගෙත් පලවෙනි iPhone එක used iPhone එකක්. හැබැයි used iPhone එකක් ගන්නකොට හරියට බලන්න ඕනේ, එහෙම නැත්නම් ඔයාට iPhoneම එපා වෙලා යනවා. පලවෙනි දේ තමා warranty."
Download (14).wav,"ගොඩක් තැන් වල යූස්ඩ් අයිෆෝන් එකට ලයිෆ්ටයිම් සොෆ්ට්වෙයාර් වොරන්ටි එකක් දෙනවා කියලා ගොඩක් මාර්කට් කරනවා, හැබැයි අයිෆෝන් වලට ලේසියෙන්ම සොෆ්ට්වෙයාර් ඉෂූස් එන්නෙ නෑ. ඒ නිසා ඔයා යූස්ඩ් ෆෝන් එකක් ගන්නකොට ස්පෙෂලි","ගොඩක් තැන් වල used iPhone එකට lifetime software warranty එකක් දෙනවා කියලා ගොඩක් market කරනවා, හැබැයි iPhone වලට ලේසියෙන්ම software issues එන්නෙ නෑ. ඒ නිසා ඔයා used phone එකක් ගන්නකොට specially"
Download (15).wav,"ෂලි හාඩ්වෙයාර් වොරන්ටි එක තමා බලන්න ඕනේ. ගොඩක් යූස්ඩ් ෆෝන් ශොප්ස් වල මාසයයි එහෙම නැත්තන් මාස තුනක් වගේ තමා වොරන්ටි දෙන්නේ, උපරිම ගියොත් මාස හයක් දෙනවා. හැබැයි මං දන්නවා තැනක් යූස්ඩ් අයිෆෝන්ස් වලට","cially hardware warranty එක තමා බලන්න ඕනේ. ගොඩක් used phone shops වල මාසයයි එහෙම නැත්තන් මාස තුනක් වගේ තමා warranty දෙන්නේ, උපරිම ගියොත් මාස හයක් දෙනවා. හැබැයි මං දන්නවා තැනක් used iPhones වලට"
Download (16).wav,අයිෆෝන්ස් වලට අවුරුද්දක් වොරන්ටි දෙනවා. ඔයා අයිෆෝන් 16 ප්‍රෝ මැක්ස් එකක් ගත්තත් නැත්නම් අයිෆෝන් 11 එකක් ගත්තත් බැටරියත් එක්කම ඔයාට අවුරුද්දක් වොරන්ටි හම්බෙනවා. ඒ විතරක් නෙවෙයි.,iPhones වලට අවුරුද්දක් warranty දෙනවා. ඔයා iPhone 16 Pro Max එකක් ගත්තත් නැත්නම් iPhone 11 එකක් ගත්තත් බැටරියත් එක්කම ඔයාට අවුරුද්දක් warranty හම්බෙනවා. ඒ විතරක් නෙවෙයි.
Download (17).wav,"ර නෙවෙයි, ඒකත් එක්කම සික්ස් මන්ත් ෆෝන් ටු ෆෝන් චෙක් කිරීම් වොරන්ටි එකකුත් ඔයාට හම්බෙනවා. දැන් ඔයාලට තියෙන ප්‍රශ්නේ තමා කොහොමද මෙයාලා අවුරුද්දක් වොරන්ටි දෙන්නේ? මෙයාලා සෝස් කරන්නේ සිංගප්පූරු","ර නෙවෙයි, ඒකත් එක්කම 6 month phone-to-phone checking warranty එකකුත් ඔයාට හම්බෙනවා. දැන් ඔයාලට තියෙන ප්‍රශ්නේ තමා කොහොමද මෙයාලා අවුරුද්දක් warranty දෙන්නේ? මෙයාලා source කරන්නේ සිංගප්පූරු"
Download (18).wav,"සිංගප්පූරු වල තියෙන පී වන් ප්ලස් ට්‍රේඩ් අයිෆෝන්ස් විතරයි. මේ රේටින් එක කොහොමද හම්බෙන්නේ කියලා බැලුවොත් එහෙම, සිංගප්පූරු වල ඉන්න අයිෆෝන් හෝල්සේලර්ස්ලා එයාලගේ ෆෝන්ස් වල කන්ඩිෂන් එකට අනුව රේටින් එකක් දෙනවා.","සිංගප්පූරු වල තියෙන P1+ trade iPhones විතරයි. මේ rating එක කොහොමද හම්බෙන්නේ කියලා බැලුවොත් එහෙම, සිංගප්පූරු වල ඉන්න iPhone wholesalersලා එයාලගේ phones වල condition එකට අනුව rating එකක් දෙනවා."
Download (19).wav,දෙනවා. ඒකේ හයස්ම රේටින් එක තමා මෙන්න මේ පී වන් ප්ලස් කියන්නේ. ඒ රේටින් එක ඒ ෆෝන් එකට හම්බෙනවා කියන්නේ ඇට්ලීස්ට් පොඩි ස්ක්‍රැච් එකක් වත් ඒ ෆෝන් එකේ පේන්න නෑ. සෝ මෙන්න මේ රීසන් එක නිසා එයාලට වන් ඉයර්,දෙනවා. ඒකේ highestම rating එක තමා මෙන්න මේ P1+ කියන්නේ. ඒ rating එක ඒ phone එකට හම්බෙනවා කියන්නේ at least පොඩි scratch එකක් වත් ඒ phone එකේ පේන්න නෑ. So මෙන්න මේ reason එක නිසා එයාලට 1 year
Download (20).wav,වන් ඉයර් හාඩ්වෙයාර් වොරන්ටි එකක් දෙන්න පුළුවන් බැටරි එකත් එක්ක. අනිත් ෂොප් වල වගේ බැටරි බූස්ට් කරපු එහෙම නැත්නම් ඩිස්ප්ලේ නැත්නම් පාර්ට්ස් මාරු කරපු ෆෝන්ස් ඔයාට මෙහෙ බලාගන්න බෑ. සෝ මේ වන් ඉයර් වොරන්ටි එකත් එක්ක,1 year hardware warranty එකක් දෙන්න පුළුවන් battery එකත් එක්ක. අනිත් shop වල වගේ battery boost කරපු එහෙම නැත්නම් display නැත්නම් parts මාරු කරපු phones ඔයාට මෙහෙ බලාගන්න බෑ. So මේ 1 year warranty එකත් එක්ක
